Year,State,Administrative District, Households , Living Quarters 
2010,Johor,Batu Pahat,"91,198","108,065"
2010,Johor,Johor Bahru ,"331,221","389,145"
2010,Johor,Kluang ,"70,280","80,525"
2010,Johor,Kota Tinggi ,"44,562","50,802"
2010,Johor,Mersing ,"16,523","17,845"
2010,Johor,Muar ,"56,700","66,420"
2010,Johor,Pontian ,"34,339","39,306"
2010,Johor,Segamat ,"46,863","56,575"
2010,Johor,Kulaijaya ,"53,607","64,795"
2010,Johor,Ledang ,"30,455","36,000"
2010,Kedah ,Baling ,"30,735","34,938"
2010,Kedah ,Bandar Baharu ,"9,627","11,101"
2010,Kedah ,Kota Setar ,"86,456","93,190"
2010,Kedah ,Kuala Muda ,"105,429","135,237"
2010,Kedah ,Kubang Pasu ,"47,731","57,246"
2010,Kedah ,Kulim ,"63,942","75,067"
2010,Kedah ,Langkawi,"22,012","26,234"
2010,Kedah ,Padang Terap ,"14,232","16,103"
2010,Kedah ,Sik ,"15,549","16,955"
2010,Kedah ,Yan ,"14,942","15,912"
2010,Kedah ,Pendang ,"21,404","24,020"
2010,Kedah ,Pokok Sena ,"10,981","12,188"
2010,Kelantan ,Bachok ,"24,462","27,142"
2010,Kelantan ,Kota Bharu ,"96,278","105,803"
2010,Kelantan ,Machang ,"17,712","20,222"
2010,Kelantan ,Pasir Mas ,"37,643","42,561"
2010,Kelantan ,Pasir Puteh ,"23,191","26,112"
2010,Kelantan ,Tanah Merah ,"24,649","27,149"
2010,Kelantan ,Tumpat ,"29,653","32,497"
2010,Kelantan ,Gua Masang ,"18,124","20,317"
2010,Kelantan ,Kuala Krai ,"21,935","24,750"
2010,Kelantan ,Jeli ,"8,318","9,122"
2010,Melaka ,Alor Gajah ,"40,385","52,127"
2010,Melaka ,Jasin ,"31,888","36,416"
2010,Melaka ,Melaka Tengah ,"119,120","146,387"
2010,Negeri Sembilan ,Jelebu ,"9,973","12,162"
2010,Negeri Sembilan ,Kuala Pilah ,"16,050","21,513"
2010,Negeri Sembilan ,Port Dickson ,"25,500","39,633"
2010,Negeri Sembilan ,Rembau ,"10,704","14,433"
2010,Negeri Sembilan ,Seremban ,"126,010","165,963"
2010,Negeri Sembilan ,Tampin ,"20,275","24,742"
2010,Negeri Sembilan ,Jempol ,"27,125","33,259"
2010,Pahang,Bentong,"28,390","34,726"
2010,Pahang,Cameron Highlands ,"7,877","10,257"
2010,Pahang,Jerantut,"18,907","21,240"
2010,Pahang,Kuantan,"96,396","113,992"
2010,Pahang,Lipis,"16,962","18,133"
2010,Pahang,Pekan,"21,804","24,527"
