State/Country,Year,Category of occupation,Code Version, Employed Person ('000) 
Malaysia,2016,Total,MASCO 2013,"14,163.7"
Johor,2016,Total,MASCO 2013,"1,580.6"
Kedah,2016,Total,MASCO 2013,884.3
Kelantan,2016,Total,MASCO 2013,632.9
Melaka,2016,Total,MASCO 2013,397.3
Negeri Sembilan,2016,Total,MASCO 2013,466.9
Pahang,2016,Total,MASCO 2013,692.2
Pulau Pinang,2016,Total,MASCO 2013,827.4
Perak,2016,Total,MASCO 2013,988.2
Perlis,2016,Total,MASCO 2013,100.1
Selangor,2016,Total,MASCO 2013,"3,217.6"
Terengganu,2016,Total,MASCO 2013,428.5
Sabah,2016,Total,MASCO 2013,"1,823.7"
Sarawak,2016,Total,MASCO 2013,"1,218.2"
W.P. Kuala Lumpur,2016,Total,MASCO 2013,827.2
W.P Labuan,2016,Total,MASCO 2013,40.2
W.P.Putrajaya,2016,Total,MASCO 2013,38.2
Malaysia,2016,Managers             ,MASCO 2013,658.5
Johor,2016,Managers             ,MASCO 2013,61.6
Kedah,2016,Managers             ,MASCO 2013,26.3
Kelantan,2016,Managers             ,MASCO 2013,12.8
Melaka,2016,Managers             ,MASCO 2013,13.7
Negeri Sembilan,2016,Managers             ,MASCO 2013,19.5
Pahang,2016,Managers             ,MASCO 2013,19.4
Pulau Pinang,2016,Managers             ,MASCO 2013,48.6
Perak,2016,Managers             ,MASCO 2013,41.7
Perlis,2016,Managers             ,MASCO 2013,2.2
Selangor,2016,Managers             ,MASCO 2013,236.3
Terengganu,2016,Managers             ,MASCO 2013,15.3
Sabah,2016,Managers             ,MASCO 2013,55.3
Sarawak,2016,Managers             ,MASCO 2013,29.5
W.P. Kuala Lumpur,2016,Managers             ,MASCO 2013,73.6
W.P Labuan,2016,Managers             ,MASCO 2013,1.7
W.P.Putrajaya,2016,Managers             ,MASCO 2013,1.1
Malaysia,2016,Professionals,MASCO 2013,"1,755.2"
Johor,2016,Professionals,MASCO 2013,134.1
Kedah,2016,Professionals,MASCO 2013,84.4
Kelantan,2016,Professionals,MASCO 2013,69.0
Melaka,2016,Professionals,MASCO 2013,47.6
Negeri Sembilan,2016,Professionals,MASCO 2013,52.2
Pahang,2016,Professionals,MASCO 2013,67.2
Pulau Pinang,2016,Professionals,MASCO 2013,111.3
Perak,2016,Professionals,MASCO 2013,105.0
Perlis,2016,Professionals,MASCO 2013,11.5
Selangor,2016,Professionals,MASCO 2013,604.3
Terengganu,2016,Professionals,MASCO 2013,51.3
Sabah,2016,Professionals,MASCO 2013,114.1
Sarawak,2016,Professionals,MASCO 2013,116.0
W.P. Kuala Lumpur,2016,Professionals,MASCO 2013,168.0
W.P Labuan,2016,Professionals,MASCO 2013,4.3
W.P.Putrajaya,2016,Professionals,MASCO 2013,15.0
Malaysia,2016,Technicians and associate professionals   ,MASCO 2013,"1,453.5"
Johor,2016,Technicians and associate professionals   ,MASCO 2013,174.4
Kedah,2016,Technicians and associate professionals   ,MASCO 2013,73.0
Kelantan,2016,Technicians and associate professionals   ,MASCO 2013,41.6
Melaka,2016,Technicians and associate professionals   ,MASCO 2013,47.9
Negeri Sembilan,2016,Technicians and associate professionals   ,MASCO 2013,56.3
Pahang,2016,Technicians and associate professionals   ,MASCO 2013,55.2
Pulau Pinang,2016,Technicians and associate professionals   ,MASCO 2013,107.0
Perak,2016,Technicians and associate professionals   ,MASCO 2013,96.8
Perlis,2016,Technicians and associate professionals   ,MASCO 2013,9.0
Selangor,2016,Technicians and associate professionals   ,MASCO 2013,433.8
Terengganu,2016,Technicians and associate professionals   ,MASCO 2013,36.7
Sabah,2016,Technicians and associate professionals   ,MASCO 2013,93.3
Sarawak,2016,Technicians and associate professionals   ,MASCO 2013,97.4
W.P. Kuala Lumpur,2016,Technicians and associate professionals   ,MASCO 2013,120.0
W.P Labuan,2016,Technicians and associate professionals   ,MASCO 2013,5.2
W.P.Putrajaya,2016,Technicians and associate professionals   ,MASCO 2013,6.0
Malaysia,2016,Clerical support workers,MASCO 2013,"1,163.8"
Johor,2016,Clerical support workers,MASCO 2013,137.4
Kedah,2016,Clerical support workers,MASCO 2013,52.1
Kelantan,2016,Clerical support workers,MASCO 2013,29.6
Melaka,2016,Clerical support workers,MASCO 2013,36.6
Negeri Sembilan,2016,Clerical support workers,MASCO 2013,38.6
Pahang,2016,Clerical support workers,MASCO 2013,46.0
Pulau Pinang,2016,Clerical support workers,MASCO 2013,84.8
Perak,2016,Clerical support workers,MASCO 2013,73.4
Perlis,2016,Clerical support workers,MASCO 2013,6.5
Selangor,2016,Clerical support workers,MASCO 2013,331.5
Terengganu,2016,Clerical support workers,MASCO 2013,26.3
Sabah,2016,Clerical support workers,MASCO 2013,109.2
Sarawak,2016,Clerical support workers,MASCO 2013,79.7
W.P. Kuala Lumpur,2016,Clerical support workers,MASCO 2013,97.7
W.P Labuan,2016,Clerical support workers,MASCO 2013,6.5
W.P.Putrajaya,2016,Clerical support workers,MASCO 2013,7.9
Malaysia,2016,Service and sales workers,MASCO 2013,"3,176.3"
Johor,2016,Service and sales workers,MASCO 2013,357.1
Kedah,2016,Service and sales workers,MASCO 2013,242.1
Kelantan,2016,Service and sales workers,MASCO 2013,193.7
Melaka,2016,Service and sales workers,MASCO 2013,103.7
Negeri Sembilan,2016,Service and sales workers,MASCO 2013,124.4
Pahang,2016,Service and sales workers,MASCO 2013,165.3
Pulau Pinang,2016,Service and sales workers,MASCO 2013,162.0
Perak,2016,Service and sales workers,MASCO 2013,252.6
Perlis,2016,Service and sales workers,MASCO 2013,27.2
Selangor,2016,Service and sales workers,MASCO 2013,604.0
Terengganu,2016,Service and sales workers,MASCO 2013,109.8
Sabah,2016,Service and sales workers,MASCO 2013,393.9
Sarawak,2016,Service and sales workers,MASCO 2013,233.7
W.P. Kuala Lumpur,2016,Service and sales workers,MASCO 2013,194.0
W.P Labuan,2016,Service and sales workers,MASCO 2013,9.0
W.P.Putrajaya,2016,Service and sales workers,MASCO 2013,4.0
Malaysia,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,872.0
Johor,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,50.6
Kedah,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,84.3
Kelantan,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,75.6
Melaka,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,10.3
Negeri Sembilan,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,21.0
Pahang,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,76.0
Pulau Pinang,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,9.1
Perak,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,60.7
Perlis,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,10.7
Selangor,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,28.7
Terengganu,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,35.2
Sabah,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,221.9
Sarawak,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,185.4
W.P. Kuala Lumpur,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,0.6
W.P Labuan,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,1.9
W.P.Putrajaya,2016,"Skilled agricultural, forestry,livestock and fishery workers",MASCO 2013,  -  
Malaysia,2016,Craft and related trades workers ,MASCO 2013,"1,570.3"
Johor,2016,Craft and related trades workers ,MASCO 2013,213.8
Kedah,2016,Craft and related trades workers ,MASCO 2013,103.3
Kelantan,2016,Craft and related trades workers ,MASCO 2013,97.5
Melaka,2016,Craft and related trades workers ,MASCO 2013,41.3
Negeri Sembilan,2016,Craft and related trades workers ,MASCO 2013,39.9
