 BRNO ,BRANCH NAME,STATE," RM0-RM1,500 "," >RM1,501-RM2,500 "," >RM2,500-RM5,000 "," >RM5,000-RM8,000 "," >RM8,000-RM15,000 "," >RM15,000-RM20,000 "," >RM20,000-RM30,000 "," >RM30,000-RM50,000 "," >RM50,0000 ", NA , Grand Total 
 001 , Kangar , PERLIS ," 29,196 "," 4,425 "," 5,560 "," 1,462 ", 291 , 6 , 13 , 5 , 7 , 6 ," 40,971 "
 002 , Alor Setar , KEDAH ," 22,804 "," 4,568 "," 5,773 "," 1,483 ", 297 , 18 , 6 , 12 , 7 , 6 ," 34,974 "
 003 , Sungai Petani , KEDAH ," 30,677 "," 4,170 "," 6,484 "," 1,997 ", 359 , 26 , 26 , 14 , 5 , 5 ," 43,763 "
 004 , Baling , KEDAH ," 22,514 "," 2,267 "," 2,950 ", 721 , 63 , 3 , 4 , 4 , 1 , 5 ," 28,532 "
 005 , Bagan Serai , PERAK ," 14,684 "," 2,797 "," 3,448 ", 916 , 93 , 9 , 4 ,, 1 ,," 21,952 "
 006 , Sungai Besar , SELANGOR ," 16,522 "," 2,799 "," 3,091 ", 834 , 101 , 1 , 4 , 3 , 2 , 3 ," 23,360 "
 007 , Jalan Ipoh , W.P KUALA LUMPUR ," 18,439 "," 6,595 "," 6,257 "," 1,232 ", 471 , 76 , 54 , 23 , 16 , 7 ," 33,170 "
 008 , Melaka , MELAKA ," 32,314 "," 5,184 "," 5,821 "," 1,296 ", 333 , 42 , 40 , 11 , 9 , 9 ," 45,059 "
 009 , Muar , JOHOR ," 19,313 "," 3,758 "," 5,381 "," 1,197 ", 222 , 12 , 6 , 1 , 3 , 4 ," 29,897 "
 010 , Temerloh , PAHANG ," 18,496 "," 2,998 "," 3,954 ", 990 , 151 , 12 , 6 , 3 , 1 , 1 ," 26,612 "
 011 , Kuala Terengganu , TERENGGANU ," 26,997 "," 5,677 "," 6,999 "," 1,869 ", 414 , 39 , 25 , 15 , 12 , 9 ," 42,056 "
 012 , Kota Bharu , KELANTAN ," 37,849 "," 4,760 "," 6,315 "," 1,596 ", 367 , 45 , 27 , 23 , 7 , 5 ," 50,994 "
 013 , Pontian , JOHOR ," 16,277 "," 2,742 "," 2,723 ", 538 , 76 , 4 , 5 , 2 ,, 4 ," 22,371 "
 014 , Kajang , SELANGOR ," 34,757 "," 4,853 "," 6,155 "," 1,727 ", 625 , 82 , 48 , 15 , 12 , 2 ," 48,276 "
 015 , Teluk Intan , PERAK ," 16,114 "," 3,187 "," 4,344 "," 1,075 ", 148 , 4 , 6 , 2 , 4 , 3 ," 24,887 "
 016 , Kuantan , PAHANG ," 33,655 "," 5,136 "," 5,454 "," 1,117 ", 287 , 34 , 27 , 16 , 21 , 9 ," 45,756 "
 017 , Johor Bahru , JOHOR ," 23,854 "," 4,401 "," 4,283 ", 649 , 171 , 21 , 19 , 6 , 2 , 3 ," 33,409 "
 018 , Banting , SELANGOR ," 21,353 "," 4,325 "," 5,234 "," 1,265 ", 271 , 30 , 28 , 3 , 7 , 5 ," 32,521 "
 019 , Jalan Tangsi , W.P KUALA LUMPUR ," 14,534 "," 6,845 "," 8,396 "," 2,191 ", 772 , 123 , 73 , 33 , 18 , 5 ," 32,990 "
 020 , Medan Gopeng , PERAK ," 16,994 "," 3,425 "," 4,770 "," 1,350 ", 227 , 11 , 6 , 3 , 2 , 5 ," 26,793 "
 021 , Seremban , NEGERI SEMBILAN ," 25,864 "," 4,811 "," 5,485 "," 1,452 ", 518 , 85 , 79 , 40 , 20 , 2 ," 38,356 "
 022 , Jitra , KEDAH ," 30,991 "," 3,380 "," 4,042 "," 1,219 ", 291 , 20 , 13 , 1 , 1 , 6 ," 39,964 "
 023 , Seberang Jaya , PULAU PINANG ," 16,188 "," 3,616 "," 3,722 ", 765 , 180 , 11 , 4 , 3 , 4 , 4 ," 24,497 "
 024 , Machang , KELANTAN ," 24,263 "," 2,842 "," 3,670 "," 1,365 ", 203 , 9 , 6 , 4 , 3 , 6 ," 32,371 "
 025 , Batu Pahat , JOHOR ," 23,740 "," 3,313 "," 4,258 "," 1,037 ", 170 , 16 , 12 , 5 , 4 , 5 ," 32,560 "
 026 , Taiping , PERAK ," 23,932 "," 4,077 "," 4,976 "," 1,159 ", 141 , 18 , 5 , 2 , 3 , 1 ," 34,314 "
 027 , Langkawi , KEDAH ," 14,983 "," 1,729 "," 1,977 ", 377 , 59 , 8 , 2 ,, 1 ,," 19,136 "
 028 , Klang , SELANGOR ," 21,563 "," 7,184 "," 6,667 "," 1,647 ", 409 , 36 , 26 , 8 , 10 , 10 ," 37,560 "
 029 , Bandar Tun Razak , W.P KUALA LUMPUR ," 22,280 "," 4,489 "," 5,921 "," 1,185 ", 412 , 61 , 53 , 18 , 16 , 3 ," 34,438 "
 030 , Jengka , PAHANG ," 18,738 "," 1,867 "," 1,760 ", 519 , 97 , 2 , 5 ,, 3 , 2 ," 22,993 "
 031 , Bahau , NEGERI SEMBILAN ," 17,351 "," 3,053 "," 3,422 ", 715 , 99 , 7 , 7 , 3 ,, 2 ," 24,659 "
 032 , Mergong , KEDAH ," 15,164 "," 4,403 "," 5,263 "," 1,317 ", 265 , 13 , 12 , 5 , 5 , 5 ," 26,452 "
 033 , Kota Tinggi , JOHOR ," 18,276 "," 3,065 "," 3,524 ", 888 , 189 , 24 , 27 , 18 , 7 , 1 ," 26,019 "
 034 , Georgetown , PULAU PINANG ," 14,777 "," 3,791 "," 3,321 ", 517 , 119 , 15 , 7 , 6 , 5 , 3 ," 22,561 "
 035 , Kulim , KEDAH ," 23,206 "," 2,839 "," 3,831 ", 893 , 112 , 9 , 5 , 3 , 5 , 5 ," 30,908 "
 036 , Manjung , PERAK ," 17,085 "," 3,708 "," 4,536 "," 1,132 ", 263 , 36 , 15 , 6 , 4 , 4 ," 26,789 "
 037 , Segamat , JOHOR ," 14,212 "," 2,771 "," 3,659 ", 920 , 118 , 3 , 3 , 4 , 1 , 5 ," 21,696 "
 038 , Subang Perdana , SELANGOR ," 16,075 "," 4,390 "," 4,662 "," 1,181 ", 510 , 58 , 41 , 22 , 6 , 3 ," 26,948 "
 039 , Jalan Pinang , W.P KUALA LUMPUR ," 8,664 "," 3,360 "," 3,904 "," 1,170 ", 661 , 105 , 69 , 30 , 4 , 2 ," 17,969 "
 040 , Kemaman , TERENGGANU ," 21,090 "," 3,140 "," 4,093 "," 1,225 ", 289 , 39 , 14 , 12 , 14 , 6 ," 29,922 "
 041 , Raub , PAHANG ," 12,399 "," 2,225 "," 2,354 ", 597 , 81 , 7 , 2 ,, 2 , 5 ," 17,672 "
 042 , Bukit Mertajam , PULAU PINANG ," 22,853 "," 4,082 "," 3,997 ", 980 , 202 , 9 , 9 , 4 , 2 , 2 ," 32,140 "
 043 , Bangsar Baru , W.P KUALA LUMPUR ," 21,258 "," 3,529 "," 3,846 ", 862 , 384 , 40 , 34 , 16 , 8 ,," 29,977 "
 044 , Meru Raya , PERAK ," 13,797 "," 3,546 "," 4,132 ", 908 , 123 , 7 , 4 , 2 , 4 , 3 ," 22,526 "
 045 , Masjid Tanah , MELAKA ," 19,822 "," 3,208 "," 3,904 "," 1,060 ", 220 , 11 , 12 , 3 , 4 , 9 ," 28,253 "
 046 , Melawati , SELANGOR ," 23,104 "," 4,530 "," 6,364 "," 1,860 ", 736 , 95 , 73 , 29 , 14 , 7 ," 36,812 "
 047 , Larkin Perdana , JOHOR ," 14,941 "," 3,936 "," 4,072 ", 701 , 123 , 7 , 15 , 8 , 4 , 3 ," 23,810 "
 048 ," Seksyen 14, Petaling Jaya ", SELANGOR ," 15,000 "," 3,408 "," 3,378 ", 747 , 314 , 44 , 18 , 15 , 7 , 2 ," 22,933 "
 049 , Kluang , JOHOR ," 19,015 "," 4,315 "," 4,308 ", 917 , 149 , 11 , 5 , 1 , 2 , 14 ," 28,737 "
 050 , Jertih , TERENGGANU ," 17,587 "," 3,193 "," 4,247 "," 1,359 ", 189 , 4 , 1 , 2 , 1 , 3 ," 26,586 "
 051 , Desa Pandan , W.P KUALA LUMPUR ," 15,612 "," 3,235 "," 3,346 ", 844 , 326 , 34 , 21 , 7 , 12 , 3 ," 23,440 "
 052 , Bayan Baru , PULAU PINANG ," 23,078 "," 3,189 "," 3,342 ", 728 , 245 , 21 , 9 , 3 , 5 , 3 ," 30,623 "
 053 , Kota Kinabalu , SABAH ," 32,017 "," 5,024 "," 6,754 "," 2,028 ", 415 , 36 , 25 , 7 , 8 , 9 ," 46,323 "
 054 , Satok , SARAWAK ," 16,702 "," 5,274 "," 7,931 "," 2,344 ", 386 , 36 , 15 , 7 , 3 , 5 ," 32,703 "
 055 , Selayang , W.P KUALA LUMPUR ," 16,312 "," 4,978 "," 5,528 "," 1,345 ", 417 , 38 , 26 , 7 , 9 , 6 ," 28,666 "
 056 , Lukut , NEGERI SEMBILAN ," 13,066 "," 3,407 "," 3,005 ", 743 , 170 , 14 , 19 , 10 , 8 , 7 ," 20,449 "
 057 , Kelana Jaya , SELANGOR ," 17,880 "," 3,750 "," 3,710 ", 984 , 418 , 48 , 37 , 12 , 14 , 3 ," 26,856 "
 058 , GLO Damansara , W.P KUALA LUMPUR ," 9,101 "," 3,168 "," 4,208 "," 1,074 ", 490 , 89 , 38 , 21 , 10 , 3 ," 18,202 "
 059 , Sungai Buloh , SELANGOR ," 19,855 "," 2,885 "," 4,303 ", 894 , 230 , 26 , 18 , 11 , 6 , 3 ," 28,231 "
 060 , Jerantut , PAHANG ," 10,815 "," 2,403 "," 2,707 ", 701 , 74 , 6 , 5 , 1 , 5 , 4 ," 16,721 "
 061 , Tapah , PERAK ," 10,525 "," 2,378 "," 2,839 ", 593 , 83 , 15 , 12 , 4 , 2 , 4 ," 16,455 "
 062 , Ampang , SELANGOR ," 17,505 "," 3,037 "," 4,103 ", 903 , 330 , 40 , 28 , 13 , 6 , 3 ," 25,968 "
 063 , Shah Alam , SELANGOR ," 51,649 "," 5,858 "," 7,547 "," 2,074 ", 936 , 100 , 56 , 24 , 21 , 4 ," 68,269 "
 064 , Usj 9 , SELANGOR ," 18,086 "," 3,510 "," 3,732 ", 979 , 384 , 78 , 32 , 20 , 8 , 1 ," 26,830 "
 065 , Gurun , KEDAH ," 14,692 "," 2,144 "," 2,728 ", 792 , 120 , 10 , 9 , 2 , 4 , 1 ," 20,502 "
 066 , Tawau , SABAH ," 21,410 "," 2,871 "," 5,036 "," 1,749 ", 194 , 10 , 2 , 3 , 3 , 8 ," 31,286 "
 067 , Miri , SARAWAK ," 11,613 "," 2,163 "," 2,942 ", 737 , 132 , 10 , 6 , 1 , 2 , 8 ," 17,614 "
